>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346

>AT5G39260 | Symbols: ATEXPA21, EXP21, ATEXP21, ATHEXP ALPHA 1.20, EXPA21 | expansin A21 | chr5:15726479-15727416 REVERSE LENGTH=262

>AT5G01910 | Symbols:  | unknown protein; Has 66 Blast hits to 66 proteins in 27 species: Archae - 0; Bacteria - 2; Metazoa - 18; Fungi - 7; Plants - 29; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink). | chr5:357950-358655 REVERSE LENGTH=180

>AT5G57830 | Symbols:  | Protein of unknown function, DUF593 | chr5:23429406-23430860 REVERSE LENGTH=387

>AT5G49525 | Symbols:  | unknown protein; Has 23 Blast hits to 23 proteins in 7 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 23; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:20097132-20097374 REVERSE LENGTH=80

>AT5G66870 | Symbols: ASL1, LBD36 | ASYMMETRIC LEAVES 2-like 1 | chr5:26706621-26707562 FORWARD LENGTH=313

>AT5G51250 | Symbols:  | Galactose oxidase/kelch repeat superfamily protein | chr5:20830743-20831849 FORWARD LENGTH=368

>AT5G49540 | Symbols:  | Rab5-interacting family protein | chr5:20104804-20105609 REVERSE LENGTH=114

>AT5G58490 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr5:23643068-23644455 FORWARD LENGTH=324

>AT5G01990 | Symbols:  | Auxin efflux carrier family protein | chr5:377373-379600 REVERSE LENGTH=431

>AT5G30500 | Symbols:  | Nucleotide-diphospho-sugar transferases superfamily protein | chr5:11615345-11616926 FORWARD LENGTH=328

>AT5G16580 | Symbols: BGLU2 | beta glucosidase 2 | chr5:5425889-5427472 REVERSE LENGTH=299

>AT5G27070 | Symbols: AGL53 | AGAMOUS-like 53 | chr5:9527741-9528604 FORWARD LENGTH=287

>AT5G22270 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G11600.1); Has 136 Blast hits to 136 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 136; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:7372487-7372768 REVERSE LENGTH=93

>AT5G61740 | Symbols: ATATH14, ATH14 | ABC2 homolog 14 | chr5:24808484-24812597 FORWARD LENGTH=848

>AT5G58480 | Symbols:  | O-Glycosyl hydrolases family 17 protein | chr5:23641227-23642826 REVERSE LENGTH=476

>AT5G22260 | Symbols: MS1 | RING/FYVE/PHD zinc finger superfamily protein | chr5:7367707-7370192 REVERSE LENGTH=672

>AT5G30510 | Symbols: RPS1, ARRPS1 | ribosomal protein S1 | chr5:11619262-11621223 REVERSE LENGTH=416

>AT5G56160 | Symbols:  | Sec14p-like phosphatidylinositol transfer family protein | chr5:22732444-22735380 FORWARD LENGTH=577

>AT5G56150 | Symbols: UBC30 | ubiquitin-conjugating enzyme 30 | chr5:22729756-22730964 FORWARD LENGTH=148

>AT5G49530 | Symbols:  | SIN-like family protein | chr5:20100934-20104242 FORWARD LENGTH=689

>AT5G58510 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G55060.2); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:23648287-23654421 REVERSE LENGTH=963

>AT5G39290 | Symbols: ATEXP26, EXP26, ATHEXP ALPHA 1.16 | expansin A26 | chr5:15735871-15736908 REVERSE LENGTH=263

>AT5G17310 | Symbols: UGP2, AtUGP2 | UDP-glucose pyrophosphorylase 2 | chr5:5696955-5699671 REVERSE LENGTH=390

>AT5G63580 | Symbols: FLS2, ATFLS2 | flavonol synthase 2 | chr5:25454730-25456092 FORWARD LENGTH=250

>AT5G58500 | Symbols: LSH5 | Protein of unknown function (DUF640) | chr5:23645535-23646083 REVERSE LENGTH=182

>AT5G66860 | Symbols:  | Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain | chr5:26701233-26702531 REVERSE LENGTH=249

>AT5G01890 | Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr5:341661-344650 REVERSE LENGTH=967

>AT5G27080 | Symbols:  | Transducin family protein / WD-40 repeat family protein | chr5:9529603-9531081 REVERSE LENGTH=466

>AT5G51260 | Symbols:  | HAD superfamily, subfamily IIIB acid phosphatase  | chr5:20832222-20833466 REVERSE LENGTH=257

>AT5G22250 | Symbols:  | Polynucleotidyl transferase, ribonuclease H-like superfamily protein | chr5:7365605-7366441 REVERSE LENGTH=278

>AT5G48150 | Symbols: PAT1 | GRAS family transcription factor | chr5:19522497-19524053 REVERSE LENGTH=490

>AT5G11930 | Symbols:  | Thioredoxin superfamily protein | chr5:3845165-3845611 REVERSE LENGTH=148

>AT5G57820 | Symbols:  | zinc ion binding | chr5:23428601-23429165 FORWARD LENGTH=161

>AT5G51270 | Symbols:  | U-box domain-containing protein kinase family protein | chr5:20835137-20838262 REVERSE LENGTH=819

>AT5G66910 | Symbols:  | Disease resistance protein (CC-NBS-LRR class) family | chr5:26718338-26721133 REVERSE LENGTH=815

>AT5G11940 | Symbols:  | Subtilase family protein | chr5:3849283-3852417 FORWARD LENGTH=762

>AT5G49480 | Symbols: ATCP1, CP1 | Ca2+-binding protein 1 | chr5:20070812-20071294 FORWARD LENGTH=160

>AT5G63570 | Symbols: GSA1 | glutamate-1-semialdehyde-2,1-aminomutase | chr5:25451957-25453620 FORWARD LENGTH=474

>AT5G11950 | Symbols:  | Putative lysine decarboxylase family protein | chr5:3855072-3856815 FORWARD LENGTH=216

>AT5G39280 | Symbols: ATEXPA23, ATEXP23, ATHEXP ALPHA  1.17, EXPA23 | expansin A23 | chr5:15730713-15731706 REVERSE LENGTH=259

>AT5G06080 | Symbols: LBD33 | LOB domain-containing protein 33 | chr5:1830796-1831427 REVERSE LENGTH=177

>AT5G53180 | Symbols: ATPTB2, PTB2 | polypyrimidine tract-binding protein 2 | chr5:21568393-21571537 REVERSE LENGTH=429

>AT5G01960 | Symbols:  | RING/U-box superfamily protein | chr5:370811-372775 FORWARD LENGTH=426

>AT5G57815 | Symbols:  | Cytochrome c oxidase, subunit Vib family protein | chr5:23426753-23427637 FORWARD LENGTH=78

>AT5G44530 | Symbols:  | Subtilase family protein | chr5:17937931-17941193 FORWARD LENGTH=840

>AT5G22210 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7359549-7359791 FORWARD LENGTH=80

>AT5G63560 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:25449517-25451234 FORWARD LENGTH=426

>AT5G06070 | Symbols: RBE, RAB | C2H2 and C2HC zinc fingers superfamily protein | chr5:1828426-1829106 REVERSE LENGTH=226

>AT5G57800 | Symbols: FLP1, YRE, CER3, WAX2 | Fatty acid hydroxylase superfamily | chr5:23420589-23423832 FORWARD LENGTH=632

>AT5G56630 | Symbols: PFK7 | phosphofructokinase 7 | chr5:22924311-22926728 FORWARD LENGTH=485

>AT5G56640 | Symbols: MIOX5 | myo-inositol oxygenase 5 | chr5:22927534-22929638 REVERSE LENGTH=314

>AT5G57810 | Symbols: TET15 | tetraspanin15 | chr5:23424466-23425589 REVERSE LENGTH=317

>AT5G58560 | Symbols:  | Phosphatidate cytidylyltransferase family protein | chr5:23670513-23672570 FORWARD LENGTH=307

>AT5G01950 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr5:365040-369532 REVERSE LENGTH=951

>AT5G44520 | Symbols:  | NagB/RpiA/CoA transferase-like superfamily protein | chr5:17934610-17936441 REVERSE LENGTH=296

>AT5G16610 | Symbols:  | unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:5445068-5447665 REVERSE LENGTH=529

>AT5G15030 | Symbols:  | Paired amphipathic helix (PAH2) superfamily protein | chr5:4866954-4869133 REVERSE LENGTH=271

>AT5G49490 | Symbols: AGL83 | AGAMOUS-like 83 | chr5:20075328-20076185 FORWARD LENGTH=285

>AT5G22240 | Symbols: ATOFP10, OFP10 | Ovate family protein | chr5:7364689-7365279 FORWARD LENGTH=196

>AT5G58540 | Symbols:  | Protein kinase superfamily protein | chr5:23663400-23665182 FORWARD LENGTH=484

>AT5G17300 | Symbols: RVE1 | Homeodomain-like superfamily protein | chr5:5690435-5692435 REVERSE LENGTH=387

>AT5G66890 | Symbols:  | Leucine-rich repeat (LRR) family protein | chr5:26712944-26714383 REVERSE LENGTH=415

>AT5G63550 | Symbols:  | DEK domain-containing chromatin associated protein | chr5:25444805-25447934 FORWARD LENGTH=530

>AT5G01920 | Symbols: STN8 | Protein kinase superfamily protein | chr5:359154-360867 FORWARD LENGTH=495

>AT5G16600 | Symbols: MYB43, AtMYB43 | myb domain protein 43 | chr5:5438291-5440214 FORWARD LENGTH=327

>AT5G56620 | Symbols: anac099, NAC099 | NAC domain containing protein 99 | chr5:22918521-22921139 REVERSE LENGTH=386

>AT5G58550 | Symbols: EOL2 | ETO1-like 2 | chr5:23665451-23668474 REVERSE LENGTH=925

>AT5G22200 | Symbols:  | Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family | chr5:7355688-7356871 FORWARD LENGTH=210

>AT5G39270 | Symbols: ATEXPA22, EXP22, ATEXP22, ATHEXP ALPHA 1.15, EXPA22 | expansin A22 | chr5:15729118-15730150 REVERSE LENGTH=263

>AT5G23450 | Symbols: ATLCBK1, LCBK1 | long-chain base (LCB) kinase 1 | chr5:7905041-7908960 REVERSE LENGTH=763

>AT5G11920 | Symbols: AtcwINV6, cwINV6 | 6-&1-fructan exohydrolase | chr5:3839490-3842206 FORWARD LENGTH=550

>AT5G11960 | Symbols:  | Protein of unknown function (DUF803) | chr5:3858852-3861462 REVERSE LENGTH=344

>AT5G01980 | Symbols:  | RING/U-box superfamily protein | chr5:375542-377023 FORWARD LENGTH=493

>AT5G16620 | Symbols: PDE120, TIC40, ATTIC40 | hydroxyproline-rich glycoprotein family protein | chr5:5450808-5454256 FORWARD LENGTH=447

>AT5G01940 | Symbols:  | eukaryotic translation initiation factor 2B family protein / eIF-2B family protein | chr5:363594-364769 REVERSE LENGTH=231

>AT5G11970 | Symbols:  | Protein of unknown function (DUF3511) | chr5:3863289-3863606 REVERSE LENGTH=105

>AT5G11980 | Symbols:  | conserved oligomeric Golgi complex component-related / COG complex component-related | chr5:3868809-3872146 REVERSE LENGTH=569

>AT5G35735 | Symbols:  | Auxin-responsive family protein | chr5:13900913-13902934 REVERSE LENGTH=404

>AT5G01930 | Symbols: MAN6, AtMAN6 | Glycosyl hydrolase superfamily protein | chr5:361189-362867 REVERSE LENGTH=448

>AT5G66900 | Symbols:  | Disease resistance protein (CC-NBS-LRR class) family | chr5:26714931-26717757 REVERSE LENGTH=809

>AT5G65910 | Symbols:  | BSD domain-containing protein | chr5:26361592-26363341 REVERSE LENGTH=432

>AT5G49550 | Symbols: BLOS2 | Putative homolog of mammalian BLOC-1 Subunit 2. Protein - protein interaction with BLOS1. | chr5:20106702-20107156 REVERSE LENGTH=127

>AT5G16000 | Symbols: NIK1 | NSP-interacting kinase 1 | chr5:5224264-5227003 FORWARD LENGTH=638

>AT5G22190 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G22160.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7354164-7354688 FORWARD LENGTH=117

>AT5G61790 | Symbols: CNX1, ATCNX1 | calnexin 1 | chr5:24827394-24829642 REVERSE LENGTH=530

>AT5G17620 | Symbols:  | CONTAINS InterPro DOMAIN/s: Plant nuclear matrix 1 (InterPro:IPR010604); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:5805934-5808455 REVERSE LENGTH=329

>AT5G13950 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G02290.1); Has 147 Blast hits to 145 proteins in 44 species: Archae - 0; Bacteria - 2; Metazoa - 56; Fungi - 6; Plants - 81; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink). | chr5:4496196-4500206 REVERSE LENGTH=939

>AT5G56210 | Symbols: WIP2 | WPP domain interacting protein 2 | chr5:22750660-22752363 REVERSE LENGTH=509

>AT5G07860 | Symbols:  | HXXXD-type acyl-transferase family protein | chr5:2511449-2512976 FORWARD LENGTH=454

>AT5G36880 | Symbols: ACS | acetyl-CoA synthetase | chr5:14534961-14539084 REVERSE LENGTH=693

>AT5G57780 | Symbols:  | EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 12 growth stages; BEST Arabidopsis thaliana protein match is: sequence-specific DNA binding transcription factors (TAIR:AT4G30410.1); Has 123 Blast hits to 123 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 123; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:23405505-23406008 REVERSE LENGTH=167

>AT5G13960 | Symbols: SUVH4, KYP, SDG33 | SU(VAR)3-9 homolog 4 | chr5:4501688-4505979 FORWARD LENGTH=624

>AT5G16010 | Symbols:  | 3-oxo-5-alpha-steroid 4-dehydrogenase family protein | chr5:5227982-5229012 FORWARD LENGTH=268

>AT5G39300 | Symbols: ATEXPA25, EXP25, ATEXP25, ATHEXP ALPHA 1.18, EXPA25 | expansin A25 | chr5:15737427-15738387 REVERSE LENGTH=260

>AT5G08260 | Symbols: scpl35 | serine carboxypeptidase-like 35 | chr5:2657236-2661272 FORWARD LENGTH=480

>AT5G51210 | Symbols: OLEO3 | oleosin3 | chr5:20820171-20820706 FORWARD LENGTH=141

>AT5G61780 | Symbols: Tudor2, AtTudor2, TSN2 | TUDOR-SN protein 2 | chr5:24822012-24826641 FORWARD LENGTH=985

>AT5G27440 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: shoot apex, shoot, flower, seed; EXPRESSED DURING: petal differentiation and expansion stage, E expanded cotyledon stage; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:9689647-9690297 REVERSE LENGTH=216

>AT5G17630 | Symbols:  | Nucleotide/sugar transporter family protein | chr5:5809475-5810728 FORWARD LENGTH=417

>AT5G08185 | Symbols: MIR162A | microRNA162A | chr5:2634820-2635215 REVERSE LENGTH=45

>AT5G17280 | Symbols:  | CONTAINS InterPro DOMAIN/s: Oxidoreductase-like, N-terminal (InterPro:IPR019180); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). | chr5:5686355-5686762 FORWARD LENGTH=135

>AT5G06610 | Symbols:  | Protein of unknown function (DUF620) | chr5:2029953-2033620 FORWARD LENGTH=368

>AT5G22300 | Symbols: NIT4, AtNIT4 | nitrilase 4 | chr5:7379401-7381764 FORWARD LENGTH=355

>AT5G44540 | Symbols:  | Tapetum specific protein TAP35/TAP44 | chr5:17941287-17941646 REVERSE LENGTH=119

>AT5G16630 | Symbols: ATRAD4, RAD4 | DNA repair protein Rad4 family | chr5:5455325-5459461 FORWARD LENGTH=865

>AT5G17640 | Symbols:  | Protein of unknown function (DUF1005) | chr5:5811047-5812429 REVERSE LENGTH=432

>AT5G61800 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr5:24830054-24831553 REVERSE LENGTH=499

>AT5G17610 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:5804011-5805045 FORWARD LENGTH=121

>AT5G44500 | Symbols:  | Small nuclear ribonucleoprotein family protein | chr5:17927505-17928269 FORWARD LENGTH=254

>AT5G48530 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G07440.1); Has 32 Blast hits to 32 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:19667906-19668781 REVERSE LENGTH=195

>AT5G23470 | Symbols:  | Haloacid dehalogenase-like hydrolase (HAD) superfamily protein | chr5:7913861-7914769 FORWARD LENGTH=302

>AT5G35740 | Symbols:  | Carbohydrate-binding X8 domain superfamily protein | chr5:13910572-13911095 REVERSE LENGTH=119

>AT5G38370 | Symbols:  | Protein of unknown function (DUF1644) | chr5:15340393-15340695 REVERSE LENGTH=100

>AT5G44550 | Symbols:  | Uncharacterised protein family (UPF0497) | chr5:17942100-17943174 REVERSE LENGTH=197

>AT5G35750 | Symbols: AHK2, HK2 | histidine kinase 2 | chr5:13911743-13916337 REVERSE LENGTH=1176

>AT5G17580 | Symbols:  | Phototropic-responsive NPH3 family protein | chr5:5795302-5797031 FORWARD LENGTH=548

>AT5G06090 | Symbols: ATGPAT7, GPAT7 | glycerol-3-phosphate acyltransferase 7 | chr5:1835106-1836722 FORWARD LENGTH=500

>AT5G22320 | Symbols:  | Leucine-rich repeat (LRR) family protein | chr5:7388175-7390426 REVERSE LENGTH=452

>AT5G01970 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G30050.1); Has 240 Blast hits to 236 proteins in 72 species: Archae - 0; Bacteria - 15; Metazoa - 51; Fungi - 19; Plants - 119; Viruses - 0; Other Eukaryotes - 36 (source: NCBI BLink). | chr5:373014-374651 REVERSE LENGTH=351

>AT5G16030 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G02500.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:5238242-5240578 FORWARD LENGTH=339

>AT5G48130 | Symbols:  | Phototropic-responsive NPH3 family protein | chr5:19516291-19518450 FORWARD LENGTH=625

>AT5G61810 | Symbols:  | Mitochondrial substrate carrier family protein | chr5:24831843-24833735 REVERSE LENGTH=478

>AT5G16020 | Symbols: GEX3 | gamete-expressed 3 | chr5:5229692-5232241 FORWARD LENGTH=641

>AT5G38380 | Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF6, transmembrane (InterPro:IPR000620); BEST Arabidopsis thaliana protein match is: Cation efflux family protein (TAIR:AT2G04620.1); Has 123 Blast hits to 121 proteins in 39 species: Archae - 0; Bacteria - 0; Metazoa - 69; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink). | chr5:15345660-15348217 FORWARD LENGTH=361

>AT5G17600 | Symbols:  | RING/U-box superfamily protein | chr5:5800029-5801117 REVERSE LENGTH=362

>AT5G17590 | Symbols:  | Putative membrane lipoprotein | chr5:5797371-5797949 REVERSE LENGTH=192

>AT5G65920 | Symbols:  | ARM repeat superfamily protein | chr5:26364323-26365657 REVERSE LENGTH=444

>AT5G61820 | Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Stress up-regulated Nod 19 (InterPro:IPR011692); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:24834505-24836223 REVERSE LENGTH=475

>AT5G61830 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr5:24837335-24838788 FORWARD LENGTH=316

>AT5G44510 | Symbols: TAO1 | target of AVRB operation1 | chr5:17929673-17934188 REVERSE LENGTH=1187

>AT5G06050 | Symbols:  | Putative methyltransferase family protein | chr5:1820196-1823572 FORWARD LENGTH=682

>AT5G35737 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G13450.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr5:13907164-13907535 FORWARD LENGTH=123

>AT5G22310 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G11590.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). | chr5:7383742-7385345 REVERSE LENGTH=481

>AT5G63590 | Symbols: FLS3, ATFLS3 | flavonol synthase 3 | chr5:25457172-25458427 REVERSE LENGTH=308

>AT5G49470 | Symbols:  | PAS domain-containing protein tyrosine kinase family protein | chr5:20063616-20068311 FORWARD LENGTH=831

>AT5G56200 | Symbols:  | C2H2 type zinc finger transcription factor family | chr5:22747768-22749249 FORWARD LENGTH=493

>AT5G27090 | Symbols: AGL54 | AGAMOUS-like 54 | chr5:9531845-9532408 FORWARD LENGTH=187

>AT5G22280 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G44280.1); Has 82 Blast hits to 82 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 82; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:7374211-7375112 REVERSE LENGTH=108

>AT5G08310 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr5:2672756-2675254 REVERSE LENGTH=832

>AT5G17290 | Symbols: ATG5, APG5, ATATG5 | autophagy protein Apg5 family | chr5:5687160-5689821 REVERSE LENGTH=337

>AT5G51230 | Symbols: EMF2, VEF2, CYR1, AtEMF2 | VEFS-Box of polycomb protein | chr5:20824153-20829344 FORWARD LENGTH=631

>AT5G16570 | Symbols: GLN1;4 | glutamine synthetase 1;4 | chr5:5421898-5424523 REVERSE LENGTH=356

>AT5G49560 | Symbols:  | Putative methyltransferase family protein | chr5:20110961-20111785 REVERSE LENGTH=274

>AT5G08320 | Symbols:  | CONTAINS InterPro DOMAIN/s: E2F-associated phosphoprotein, C-terminal (InterPro:IPR019370); Has 149 Blast hits to 149 proteins in 78 species: Archae - 0; Bacteria - 0; Metazoa - 79; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 35 (source: NCBI BLink). | chr5:2677153-2678603 FORWARD LENGTH=150

>AT5G61760 | Symbols: ATIPK2BETA, IPK2B, IPK2BETA | inositol polyphosphate kinase 2 beta | chr5:24813916-24814818 REVERSE LENGTH=300

>AT5G66920 | Symbols: sks17 | SKU5  similar 17 | chr5:26722963-26725370 FORWARD LENGTH=546

>AT5G17670 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr5:5821082-5822600 FORWARD LENGTH=309

>AT5G06060 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr5:1824066-1825833 REVERSE LENGTH=264

>AT5G58450 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr5:23626826-23632071 FORWARD LENGTH=1065

>AT5G49555 | Symbols:  | FAD/NAD(P)-binding oxidoreductase family protein | chr5:20107411-20110602 REVERSE LENGTH=556

>AT5G66850 | Symbols: MAPKKK5 | mitogen-activated protein kinase kinase kinase 5 | chr5:26695965-26699159 REVERSE LENGTH=716

>AT5G58470 | Symbols: TAF15b | TBP-associated factor 15B | chr5:23638566-23640854 REVERSE LENGTH=422

>AT5G58460 | Symbols: ATCHX25, CHX25 | cation/H+ exchanger 25 | chr5:23632361-23635037 REVERSE LENGTH=857

>AT5G56170 | Symbols: LLG1 | LORELEI-LIKE-GPI-ANCHORED PROTEIN 1 | chr5:22736072-22737108 FORWARD LENGTH=168

>AT5G63595 | Symbols: FLS4, ATFLS4 | flavonol synthase 4 | chr5:25459256-25460436 REVERSE LENGTH=279

>AT5G66830 | Symbols:  | F-box family protein with a domain of unknown function (DUF295) | chr5:26691304-26692488 FORWARD LENGTH=394

>AT5G08330 | Symbols:  | TCP family transcription factor  | chr5:2680828-2681547 FORWARD LENGTH=239

>AT5G66840 | Symbols:  | SAP domain-containing protein | chr5:26692922-26695296 REVERSE LENGTH=551

>AT5G61750 | Symbols:  | RmlC-like cupins superfamily protein | chr5:24812804-24813436 REVERSE LENGTH=210

>AT5G56180 | Symbols: ATARP8, ARP8 | actin-related protein 8 | chr5:22737539-22740986 REVERSE LENGTH=471

>AT5G36890 | Symbols: BGLU42 | beta glucosidase 42 | chr5:14542164-14546090 REVERSE LENGTH=490

>AT5G07840 | Symbols:  | Ankyrin repeat family protein | chr5:2506764-2507291 REVERSE LENGTH=175

>AT5G49570 | Symbols: AtPNG1, PNG1 | peptide-N-glycanase 1 | chr5:20112071-20116125 REVERSE LENGTH=721

>AT5G58580 | Symbols: ATL63, TL63 | TOXICOS EN LEVADURA 63 | chr5:23676906-23677832 REVERSE LENGTH=308

>AT5G17660 | Symbols:  | tRNA (guanine-N-7) methyltransferase | chr5:5818778-5820811 REVERSE LENGTH=312

>AT5G61770 | Symbols: PPAN | PETER PAN-like protein | chr5:24815888-24817495 FORWARD LENGTH=345

>AT5G48140 | Symbols:  | Pectin lyase-like superfamily protein | chr5:19518907-19520412 REVERSE LENGTH=395

>AT5G02010 | Symbols: ATROPGEF7, ROPGEF7 | RHO guanyl-nucleotide exchange factor 7 | chr5:383493-385698 FORWARD LENGTH=546

